RHL,median_mcherry,replicate,predicted_micro_mcherry
RHL_0,6674,1,1863.885719374891
RHL_0,6972,2,1915.0365545521738
RHL_0,6957,3,1912.4618480835186
RHL_0_78125,7731,1,2045.3167018661256
RHL_0_78125,7496,2,2004.9796338571946
RHL_0_78125,7446,3,1996.3972789616773
RHL_1_5625,7365,1,1982.4938640309394
RHL_1_5625,7317,2,1974.2548033312428
RHL_1_5625,7301,3,1971.5084497646774
RHL_3_125,7463,1,1999.3152796261531
RHL_3_125,7992,2,2090.1165944207255
RHL_3_125,7904,3,2075.0116498046154
RHL_6_25,7800,1,2057.1603516219393
RHL_6_25,8045,2,2099.213890609974
RHL_6_25,8135,3,2114.662129421905
RHL_12_5,10202,1,2469.456680802588
RHL_12_5,9951,2,2426.3732592270912
RHL_12_5,10064,3,2445.76938129096
RHL_25,13796,1,3086.356350692367
RHL_25,13481,2,3032.2875148506087
RHL_25,13388,3,3016.3243347449466
RHL_50,20184,1,4182.83801214365
RHL_50,22027,2,4499.183613592416
RHL_50,22027,3,4499.183613592416
RHL_75,30161,1,5895.361107995161
RHL_75,29589,2,5797.178967990443
RHL_75,30919,3,6025.469608211202
RHL_100,48489,1,9041.309118495961
RHL_100,47905,2,8941.06721331632
RHL_100,48138,3,8981.060987129431
RHL_200,65555,1,11970.638491433909
RHL_200,62894,2,11513.88556389448
RHL_200,62741,3,11487.623557914198
RHL_400,74065,1,13431.355294650943
RHL_400,72455,2,13155.003467015287
RHL_400,72278,3,13124.621930685156
RHL_800,62436,1,11435.271193051543
RHL_800,61982,2,11357.343410600246
RHL_800,62133,3,11383.262122384707
