HQNO,median_gfp,replicate,predicted_micro_gfp
HQNO_0,161,1,322.2892029459617
HQNO_0,169,2,326.6378956401234
HQNO_0,165,3,324.46354929304255
HQNO_5,182,1,333.7045212681362
HQNO_5,171,2,327.7250688136638
HQNO_5,170,3,327.18148222689365
HQNO_10,160,1,321.7456163591915
HQNO_10,187,2,336.42245420198725
HQNO_10,185,3,335.33528102844684
HQNO_20,166,1,325.0071358798128
HQNO_20,174,2,329.35582857397446
HQNO_20,173,3,328.8122419872043
HQNO_40,186,1,335.8788676152171
HQNO_40,202,2,344.5762530035405
HQNO_40,207,3,347.29418593739155
HQNO_80,450,1,479.3857265225537
HQNO_80,443,2,475.5806204151622
HQNO_80,443,3,475.5806204151622
HQNO_160,689,1,609.302920760635
HQNO_160,665,2,596.2568426781498
HQNO_160,663,3,595.1696695046094
HQNO_320,1010,1,783.7942151138739
HQNO_320,992,2,774.0096565520099
HQNO_320,1012,3,784.8813882874142
HQNO_640,1197,1,885.444906839904
HQNO_640,1195,2,884.3577336663635
HQNO_640,1197,3,885.444906839904
HQNO_1280,1440,1,1017.5364474250661
HQNO_1280,1462,2,1029.4953523340107
HQNO_1280,1489,3,1044.1721901768067
HQNO_2500,1526,1,1064.2848938873044
HQNO_2500,1421,2,1007.2083022764319
HQNO_2500,1307,3,945.2394313846276
HQNO_5000,610,1,566.359580405788
HQNO_5000,730,2,631.5899708182137
HQNO_5000,710,3,620.7182390828094
