molecule,replicate,pos,c0,L,A,r2,rmse,status,r0,uptake rate,production rate,scaled_conc,Deff,D0
HQNO,replicate_5,pos0,111.68845189626477,82.25928687366444,0.0014069810863008,0.8848498566868791,6.526007341428026,success,26.659737587062523,0.035135723408566154,7.670139105028961,18.288260116534104,24.972420561063924,40.0
HQNO,replicate_5,pos1,158.489530485822,65.14510838138197,0.0016684059224733,0.9273221408750604,7.300683829913176,success,24.482126554504212,0.04166413436257306,11.459322957871855,25.951633405790005,24.972420561063924,40.0
HQNO,replicate_5,pos2,159.56066372415006,61.37974182432678,0.0015737487975095,0.8968675054027841,9.24926815055128,success,25.207646180329423,0.039300316828875866,11.330600334849322,26.127024531277204,24.972420561063924,40.0
HQNO,replicate_5,pos3,54.500822587882915,72.64323109799619,0.0001904933804176,0.9235007216186584,2.25507390458822,success,72.4536144370576,0.004757080809887046,2.6467588776501927,8.924156464967655,24.972420561063924,40.0
HQNO,replicate_5,pos4,49.95896136139935,84.49999999980128,0.0003135180903332,0.913100456197524,2.0724119585370624,success,56.476620020912726,0.0078293056053023,2.543311899026679,8.180456126097528,24.972420561063924,40.0
HQNO,replicate_5,pos5,41.88615803534263,65.48215207412667,1.0013552745729722e-12,0.9267085716300932,1.7898646202966044,success,999323.0507249588,2.5006265047675904e-11,1.8744297682950721,6.858586903362921,24.972420561063924,40.0
HQNO,replicate_5,pos6,47.18557713402414,87.49999999999825,0.0004470178637485,0.8924597354103567,2.220246088278692,success,47.29743190463388,0.011163118091835914,2.5176834621010307,7.726332433878753,24.972420561063924,40.0
HQNO,replicate_5,pos7,75.86671055668661,84.49999999999494,0.0012192074389479,0.893467537652502,3.91664322051406,success,28.639220821684688,0.03044656091658463,5.002948783276074,12.422682142063877,24.972420561063924,40.0
HQNO,replicate_5,pos8,68.57734676140697,84.49999999999314,0.0011399966933556,0.8930493461897674,3.4840096107477208,success,29.61748684171209,0.02846847686469827,4.440941365356366,11.229096064821645,24.972420561063924,40.0
HQNO,replicate_5,pos9,67.69010548825948,84.49999999999848,0.0008410298349827,0.9005526363057205,3.25469366938762,success,34.48214698862327,0.021002550743590177,4.066944750165224,11.083816056781808,24.972420561063924,40.0
HQNO,replicate_7,pos0,157.03586960160132,66.59683009770787,0.0030532194021271,0.9329206905427468,6.789230675736261,success,18.097600341902076,0.0762462789751181,13.971038051122878,25.713605857547588,24.972420561063924,40.0
HQNO,replicate_7,pos1,46.82900336726197,63.0540534021045,5.4939370361574786e-05,0.9679765049308132,1.3512586918759302,success,134.91435489325153,0.0013719690620292962,2.148256540133109,7.667945790617408,24.972420561063924,40.0
HQNO,replicate_7,pos15,61.97149341560246,68.76202997982439,0.0009319899948258,0.9686396677526684,1.8319317667039303,success,32.756264926453376,0.023274046109493667,3.813723905261036,10.147430393674579,24.972420561063924,40.0
HQNO,replicate_7,pos18,66.47666620492399,87.49999999999962,0.0009911895124549,0.9333725695996172,2.6850552267853867,success,31.763009967985777,0.024752401360739675,4.152923363507302,10.885123238746587,24.972420561063924,40.0
HQNO,replicate_7,pos2,83.62001740314193,87.49999999999999,0.0014367579835114,0.9061064235531746,4.2816738673052415,success,26.38202882356709,0.03587932460871283,5.777936484256753,13.692235887002315,24.972420561063924,40.0
HQNO,replicate_7,pos22,44.07909117615728,54.43504557766985,0.0001718158004204,0.9801139798031006,1.1887492954137049,success,76.29014672821475,0.004290656427134052,2.1246092937627243,7.217665492209648,24.972420561063924,40.0
HQNO,replicate_7,pos24,40.4022264852118,67.41753998261525,1.0000000013890426e-12,0.9813419373030452,0.89381661479412,success,999999.9993054788,2.497242059575168e-11,1.8080229742086376,6.6156027297696625,24.972420561063924,40.0
HQNO,replicate_7,pos3,80.95887356925074,87.49999999999999,0.0014792834679883,0.9644127324590872,2.4452983323299784,success,26.000056883504673,0.03694128889163297,5.642614974208777,13.256490831757795,24.972420561063924,40.0
HQNO,replicate_7,pos5,71.02923723693603,87.49999999999999,0.0012175364102922,0.9758585188070008,1.7685276805554162,success,28.658867277018754,0.030404831286224895,4.682185240461835,11.630577238859008,24.972420561063924,40.0
HQNO,replicate_7,pos6,121.9724536040672,48.72950641787312,1.0000000000013597e-12,0.8214813413053461,11.609948717450957,success,999999.9999993204,2.497242056109788e-11,5.4583377581299795,19.972198742936193,24.972420561063924,40.0
HQNO,replicate_7,pos7,44.756382848292,87.49999999999999,0.0003423221638562,0.9346869136296716,1.6246564494482283,success,54.04835627138745,0.008548613043190462,2.3024703860721476,7.328567613820812,24.972420561063924,40.0
RHL,replicate_2,pos0,34.296637913933004,43.75000000000002,0.0052428803316519,0.922771779663916,2.5008311243101256,success,13.8106788832347,0.08837600350050553,2.541736499637661,13.199100675411012,16.856383878718148,27.0
RHL,replicate_2,pos1,19.32877631832557,78.97107371937355,0.0346155569746178,0.8470817198177057,1.2457784923428774,success,5.374825117538389,0.5834931165397971,3.2673230746323663,7.438701869212548,16.856383878718148,27.0
RHL,replicate_2,pos2,31.58679352574566,43.75000000000001,0.0047153199067318,0.95344464297844,1.744015863848351,success,14.562784363424262,0.07948324245883268,2.243190493914275,12.156213935779551,16.856383878718148,27.0
RHL,replicate_2,pos3,41.2995274710431,43.75000000000001,0.0034668559377645,0.9417081528108,2.719998747300916,success,16.983691885514947,0.05843865453917181,2.6013350364528125,15.894170801965025,16.856383878718148,27.0
RHL,replicate_2,pos4,36.324651997102954,43.75000000000001,0.0070017286188352,0.9537628344416016,1.9178266634873573,success,11.95081058469708,0.11802382541369315,3.0322889570602976,13.979584235405593,16.856383878718148,27.0
RHL,replicate_2,pos5,29.640059184754907,45.25000000000001,0.0040277825203484,0.9192944391098026,2.268523353310226,success,15.756762666644663,0.06789384834298352,1.9779672498362553,11.407010978349774,16.856383878718148,27.0
RHL,replicate_2,pos6,34.27969467609278,45.25000000000006,0.0042747775530732,0.92552398844202,2.5014294402910284,success,15.294780190330846,0.0720572914307293,2.341568107983064,13.192580050777725,16.856383878718148,27.0
RHL,replicate_2,pos7,31.63354912665412,43.750000000000064,0.0049676213983136,0.9333065396473108,2.1331535168513343,success,14.188149482016236,0.08373613325410867,2.2939204322420075,12.174207882739566,16.856383878718148,27.0
RHL,replicate_2,pos8,32.10795320370043,45.25000000000001,0.0065562615518889,0.909648241065575,2.4589849836071656,success,12.350139541631144,0.11051486152791969,2.607939164342419,12.35678283919662,16.856383878718148,27.0
RHL,replicate_2,pos9,36.77892598050914,45.25000000000001,0.0066921626653994,0.9435209368975668,2.1679759150350595,success,12.224096104628549,0.11280566286679793,3.012900552977881,14.154412102097517,16.856383878718148,27.0
RHL,replicate_3,pos10,22.86034821002931,87.49999987085717,0.0100448284043218,0.9130606951265736,1.5660029750189228,success,9.977660876887278,0.16931948357910015,2.2240238846443616,8.797831386747928,16.856383878718148,27.0
RHL,replicate_3,pos11,34.90235043959282,43.75000000000001,0.0071254770903023,0.9414908395494824,2.08259476951755,success,11.846580938039988,0.12010977715314719,2.9349709273232634,13.43220983983128,16.856383878718148,27.0
RHL,replicate_3,pos12,33.92679834186552,43.75000000000009,0.005085689629924,0.9188870836747354,2.554269981883939,success,14.02248789465549,0.08572633669001498,2.48359502510778,13.056767489350039,16.856383878718148,27.0
RHL,replicate_3,pos13,37.7060577970453,43.75000000000001,0.0058677198562529,0.9530097421578132,2.0617985067969893,success,13.054652457442916,0.09890853838977574,2.9256070465975683,14.51121985149111,16.856383878718148,27.0
RHL,replicate_3,pos14,31.308841567570656,43.75000000000001,0.0052747704097171,0.9540570677776188,1.7051997116547726,success,13.76886745932809,0.08891355489829485,2.32601436769423,12.049243803952459,16.856383878718148,27.0
RHL,replicate_3,pos15,32.70084705448376,45.25000000000001,0.0067110189701691,0.9441995620226444,1.9063338160101,success,12.206910679919863,0.11312351197853007,2.6819637251475377,12.584958721799447,16.856383878718148,27.0
RHL,replicate_3,pos16,36.488411715804126,43.75000000000001,0.0048568618762931,0.9627355462600388,1.807264233968641,success,14.34901612369723,0.0818691282327078,2.622129663029348,14.042607352106943,16.856383878718148,27.0
RHL,replicate_3,pos17,31.837013444798107,87.49999999999989,0.0151005804391555,0.9603058053948956,1.3205265304114011,success,8.137728183384311,0.2545411806738674,3.700315642643943,12.25251136035086,16.856383878718148,27.0
RHL,replicate_3,pos18,31.757898677938673,44.07515870485623,0.0099635868105748,0.9524295270647626,1.5813349797345946,success,10.018256468086614,0.16795004408798184,3.0788688474718535,12.222063951035992,16.856383878718148,27.0
RHL,replicate_3,pos19,35.90878782859181,43.75000000000003,0.0048799871119247,0.9510750796359788,2.047629691518407,success,14.31497726077964,0.08225893608179985,2.5853963353189693,13.819538430296376,16.856383878718148,27.0
RHL,replicate_3,pos20,36.9967281270124,43.75000000000021,0.0051625337852163,0.9567677664716976,1.9521880582465747,success,13.917734471583383,0.08702165127045783,2.7247712065274734,14.238233509497023,16.856383878718148,27.0
