mode,cluster size,survival probability,MSSL
chessboard,1,0.0006200103713623916,0.45465557884059377
chessboard,2,0.0006198362172361571,0.4545636714253181
chessboard,3,0.000619973069287477,0.4575700401728648
chessboard,4,0.0006200670529132117,0.46230648934921653
chessboard,5,0.0006259370695531276,0.4707638345699414
chessboard,6,0.0006208270559802063,0.4737582314075069
chessboard,7,0.0006269565337490936,0.4825049216181651
chessboard,8,0.0006238431632226032,0.4869899805038031
chessboard,9,0.0006376845261193491,0.5012708699113123
chessboard,10,0.0006321157476728109,0.5012930129554486
chessboard,11,0.0006302103129210396,0.5013818384454964
chessboard,12,0.0006428234328713749,0.5171319891160349
chessboard,13,0.0006822340704261768,0.5438907209472464
chessboard,14,0.0006703765367126991,0.5446762875837796
chessboard,15,0.0006633735121697556,0.5451121982374345
chessboard,16,0.0006587732422669299,0.5448715267282042
chessboard,17,0.0006558156609783209,0.5440236435830674
chessboard,18,0.0006553837843436577,0.5430189180837649
chessboard,19,0.0006610250303729947,0.5429386594268467
chessboard,20,0.0006784485661710635,0.5460150943042058
chessboard,21,0.000714313371701828,0.555836518099189
chessboard,22,0.0007725052055359974,0.5747329009818148
chessboard,23,0.0008500582090217162,0.6075284745902901
chessboard,24,0.0009304428116946405,0.6593247100146172
chessboard,25,0.0010638867458025655,0.7158711492209564
chessboard,26,0.0011128999173991526,0.7308870645475546
